Object,X,Y,H,RZ,IMG_NUM
peo0,1.50,21.60,1.75,-47.99,98
peo1,2.10,13.20,1.69,-101.20,98
peo2,2.40,12.60,1.70,-110.02,98
peo3,0.30,21.60,1.76,-66.83,98
peo4,2.40,27.60,1.76,-76.29,98
peo5,2.10,12.60,1.77,-112.15,98
peo6,2.10,30.00,1.83,-110.38,98
peo7,1.20,21.60,1.56,-80.29,98
peo8,1.20,29.40,1.63,-102.69,98
peo9,0.60,22.20,1.73,-72.65,98
peo10,2.40,25.20,1.62,-86.40,98
peo11,1.80,23.40,1.65,-97.94,98
peo12,1.80,13.80,1.60,-46.99,98
peo13,0.30,26.40,1.71,-92.55,98
peo14,0.60,15.60,1.75,-90.26,98
